Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Lesotho,0.2653,15.4584,32.4932,0.2107,0.4292,41.3578,1.7948,0,7.9905,0.0078,0,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0.0078,0,0.0858,13.5,13.1
Liberia,0.0752,20.5764,28.6591,0.4386,2.0677,40.213,0.3258,0.0627,7.5814,0.0251,0,1.0902,1.6416,0.5639,0,3.8722,0.0501,0.1504,0.0125,0.1754,8.6,37.2
Lithuania,0.5273,42.0132,12.858,1.7655,3.9345,20.7071,13.0577,0.004,5.1328,0.2077,0,0.5512,0.3435,2.2808,0.1758,0.8588,0.4194,0.2317,0.02,0.0439,28.4,<2.5
Luxembourg,0.594,45.929,10.4804,2.3148,3.9602,20.8713,10.6124,0.0047,5.2331,0.2452,0.0047,0.4762,0.3253,0.2357,0.165,0.8486,2.5364,0.0471,0.0189,0.33,24.2,<2.5
Madagascar,0.0931,16.102,31.1678,0.2212,1.7813,40.8896,2.3169,0.0466,7.3816,0.0349,0,0.978,0.1746,2.1423,0.1281,3.4696,0.3842,0.0466,0,0.0233,4.5,44.4
Malawi,0.1544,13.3794,23.98,0.2352,2.0731,44.1888,0.2646,0,15.7245,0.0956,0,0.8013,3.2713,6.6676,0.0441,4.7048,0.0809,0.0368,0,0.0221,4.7,17.5
Malaysia,0.0824,38.7315,16.6065,3.5735,10.562,24.8052,1.527,0,4.1121,0.0634,0.0127,0.2724,0.6273,1.0518,0.9314,0.3738,0.1901,0.1457,0.0063,0.4372,15.3,2.5
Maldives,0.0367,34.9771,13.4537,2.1107,18.0789,22.3616,4.8394,0.0306,4.1113,0.0612,0,0.0061,0.3793,0.312,0.6608,0.4283,0.52,1.0523,0.0061,0.6852,7.9,10.3
Mali,0.2414,19.2627,27.6544,0.1178,1.325,38.5666,5.6769,0.0059,7.1492,0.0177,0,0.9069,1.2131,3.5923,0.1354,0.7479,0.1237,0.3651,0,0.0471,7.1,6.3
Malta,0.2579,42.7651,13.735,1.6073,3.6271,24.9603,9.1968,0,3.8506,0.0688,0,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0.3696,0.0215,0.0988,31,<2.5
Mauritania,0,25.6749,25.3429,0.451,1.6348,32.6214,7.9737,0,6.3014,0.0188,0,1.1275,0.3257,3.8334,0.0125,0.238,0.5951,0,0.0063,0.1441,11.3,10.4
Mauritius,0.2315,32.3885,20.5138,1.0277,4.122,29.8476,5.7538,0,6.1149,0.0508,0.0056,0.3444,0.7849,3.2693,0.367,0.4404,0.3783,0.1016,0.0169,0.3557,11.5,6.5
Mexico,0.2784,34.561,19.3737,2.8587,2.3287,28.7098,5.6906,0.0428,6.1563,0.0107,0.0161,1.4186,0.6906,3.1103,0.3533,0.3051,0.0803,0.1445,0.0214,0.0054,28.4,3.6
Mongolia,0.2367,53.8779,13.0902,0.7768,0.1032,16.8771,9.7706,0,5.2675,0.1092,0,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0.0243,0.0182,0.1699,19.6,13.4
Montenegro,0.1588,41.8391,13.7184,1.5576,1.6591,21.9609,14.9495,0.0044,4.1518,0.0882,0,0.5074,0.3221,1.2399,0.0529,0.5074,0.8207,0.2647,0.0176,0.3309,24.9,<2.5
Morocco,0.0204,20.5639,29.9052,0.9892,3.248,38.2725,2.5342,0,4.4667,0.0255,0,0.6272,0.0816,1.5552,0.3161,0.9994,0.3518,0.4844,0.0051,0.0204,25.6,3.4
Mozambique,0.1562,11.8032,24.9634,0.5467,3.251,42.6535,1.562,0,15.064,0,0,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0.2343,0,0.0781,6,27.9
Myanmar,0.0161,34.2029,16.0006,0.8517,8.7797,28.2998,3.2248,0.2625,8.3621,0.0911,0,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0.2464,0,0.0804,5.7,10.6
Namibia,0.386,27.9234,19.5191,0.3217,2.7586,32.8856,4.6244,0,11.581,0.0483,0.008,0.941,0.4745,4.1338,0.3458,5.0828,0.2493,0.0402,0.0241,0.2332,15,27.3
Nepal,0.0407,11.7284,28.0559,0.3934,0.5698,45.5026,3.7648,0.0882,9.8562,0.0271,0,0.6919,0.1628,5.0943,1.1328,2.4556,0.1018,0.156,0.0068,0.0271,3.8,8.7
Netherlands,0.3823,46.0406,10.9008,2.1075,3.264,19.8518,13.7921,0.0048,3.6558,0.0573,0.0048,0.1481,0.1864,0.4731,0.1625,1.6487,0.3393,0.5926,0.043,0,23.1,<2.5
New Caledonia,0.3262,44.5539,13.6531,1.6915,3.9207,23.2465,7.2857,0,5.3223,0.1873,0.0181,0.7008,1.2143,0.5739,0.0967,0.7431,0.4591,0.1087,0.0362,1.1841,NA,7.1
New Zealand,0.3023,46.6333,14.1043,1.6765,3.6498,23.8114,4.4303,0.011,5.3813,0.1539,0.0165,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.5497,0.011,0,32,<2.5
Nicaragua,0.0907,24.2573,23.8869,1.1188,1.217,34.6059,5.9264,0,8.8972,0.0302,0,0.7786,0.9902,6.1607,0.0076,0.4611,0.0832,0.0076,0.0076,0.3704,21.8,17
Niger,0.0061,10.7516,22.2968,0.0427,0.3602,44.6669,3.474,0,18.4014,0.0244,0,0.5922,4.1028,13.1876,0.1587,0.2625,0.0549,0,0,0.0183,4.7,16.5
Nigeria,0.456,8.808,24.4299,0.6349,2.3786,46.8747,0.5991,0,15.8187,0.0089,0,0.3219,3.0135,5.723,0.5097,5.9734,0.0179,0.2236,0,0.0268,7.8,13.4
North Macedonia,0.2603,28.7263,17.4032,1.0226,0.9854,34.8808,9.0796,0,7.6418,0.0558,0,0.9482,1.159,1.8903,0.4648,1.6362,0.9049,0.3967,0.0248,0.1611,23.9,3.2
Norway,0.3223,39.7758,11.9831,1.6431,6.7042,22.5954,9.7681,0,7.2082,0.3132,0,0.3586,1.1075,1.6704,0.0545,1.044,1.0894,0.3677,0.1135,1.0894,25,<2.5
Oman,0.0294,34.2476,16.4454,1.4155,4.5695,30.3184,8.6221,0,4.3522,0.0294,0,0.6872,0.2819,1.439,0.5697,0.6402,0.3759,0.1762,0.0059,0.1468,22.9,6.8
Pakistan,0,25.5094,20.8679,0.7472,0.4151,30.1962,14.6868,0.0603,7.5169,0.0604,0,0.634,2.3547,2.9509,0.4075,0.566,0.3019,0.1057,0.1132,0.0226,7.8,20.3
Panama,0.4278,40.2906,16.5629,1.0316,3.1075,25.011,7.3725,0.0126,6.1836,0.1006,0.0063,1.1889,1.3776,2.0759,0.0315,0.4466,0.3208,0.1258,0.0315,0.4781,22.5,10
Paraguay,0.4165,36.5637,15.4044,2.2839,0.8678,28.1082,4.665,0,11.6903,0.1458,0,2.1798,1.201,3.5196,0.0347,1.8813,2.5824,0.0069,0.0069,0.1319,19,10.7
