Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Djibouti,0.1306,5.2052,27.8918,0.0746,0.1493,48.2836,1.5858,6.1754,10.5038,0.2799,0,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,0.0933,6.25,12.2,18.9
Dominica,1.4266,15.7099,11.3791,0.1529,1.036,45.9239,3.9062,6.9633,13.502,0.9341,0,0.2548,0.1359,1.4266,0.7133,0.4755,5.9783,0.5944,0.017,2.9721,28.2,6.2
Dominican Republic,1.589,12.4498,13.3054,0.6286,0.2968,49.3277,2.9859,5.413,14.0038,0.7508,0,0.1921,0.2445,1.1524,1.5017,0.0524,1.3794,0.1746,0.0349,8.521,26.9,9.5
Ecuador,0.9275,13.6618,23.4396,0.5411,0.2512,43.2851,3.4203,3.6908,10.7825,1.4879,0,0.0966,0.1353,0.3671,0.3285,0.0386,1.0242,0.0773,0.0386,7.1884,19.3,7.9
Egypt,0.0301,5.8407,32.2144,0.1957,0.6322,49.9323,0.9935,4.4106,5.7505,0.5269,0,0.0151,0.2107,0.7828,0.6624,0.1204,1.2645,0.0452,0.0602,2.0623,31.1,4.5
El Salvador,0.9019,10.2781,22.6043,0.5825,0.2818,45.077,3.4198,7.1965,9.6581,1.3717,0,0.2443,0.0564,1.4092,2.95,0.0188,1.2026,0.1691,0.0376,2.1984,22.7,9
Estonia,4.839,19.6948,16.2121,0.7397,0.339,37.4481,7.8132,3.7756,9.1386,1.9572,0,0.0462,0.1387,0.1387,0.4315,0.1541,2.25,1.125,0.4469,2.4503,23.8,2.9
Eswatini,1.5593,8.3576,27.5468,0.1247,0.1663,46.3202,1.8295,6.7152,7.3805,0.5198,0,0.1663,0.1663,0.7277,0.7277,0.3326,2.8274,0.0416,0.1247,1.7464,13.5,20.6
Ethiopia,0.4774,2.6692,31.5321,0.0434,0.0217,48.5243,1.1068,1.8663,13.7586,0.1519,0,0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,0.0868,1.8012,3.6,20.6
Fiji,0.7322,12.0382,18.1338,0.2724,1.1238,42.9763,1.1749,5.9254,17.6231,2.2476,0,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,0.0511,5.1081,30,3.7
Finland,2.4873,27.1801,14.504,0.5094,0.944,33.2633,7.267,4.525,9.3197,2.4273,0,0.4495,0.1199,0.2997,0.1648,0.045,1.6931,0.5993,0.2397,3.2814,24.9,<2.5
France,1.9955,23.145,13.8983,0.6183,0.8994,35.652,5.3963,5.5509,12.8443,3.6818,0,0.0562,0.2389,0.3513,0.2389,0.0422,1.321,0.4356,0.4216,6.0568,23.2,<2.5
French Polynesia,1.4879,23.2085,15.8885,0.496,1.6419,36.8394,2.7364,3.6942,14.0072,1.8129,0,1.1459,0.2223,2.4457,0.325,0.0171,1.9155,0.667,0.1539,5.3019,NA,4.2
Gabon,2.0617,11.6512,18.0064,0.0567,1.0781,48.6287,0.9835,2.7426,14.7909,0.1513,0,0.3215,0.4539,2.3454,0.0378,0,8.398,0.1702,0.0189,2.8939,13.4,10.5
Gambia,0.3543,4.3692,26.8845,0.0984,1.1021,46.7427,1.791,5.5895,13.0682,0.0787,0,0.1771,0.0394,4.8219,0.1574,0,0.3543,0.0787,0.0787,7.282,8.7,10.2
Georgia,1.2367,11.1827,25.6053,0.4006,0.2613,42.6058,4.0759,6.6539,7.9777,1.6025,0,0.2264,0.0871,0.1916,0,0.0523,1.4806,0.8361,0.2961,3.205,23.3,7.9
Germany,3.2902,20.4443,12.4016,0.6187,0.5343,37.275,4.9072,6.482,14.0467,4.162,0,0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,0.7593,6.1867,25.7,<2.5
Ghana,0.3956,2.868,13.8784,0.0659,0.923,53.9641,0.2308,2.0438,25.6304,0.0989,0,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0,0.0989,2.4065,9.7,5.5
Greece,1.0285,15.6357,14.4731,0.4919,0.5068,42.2864,5.4255,4.2629,15.8891,0.7006,0,0.164,0.1938,0.8794,0.6707,0.0596,1.5203,0.4919,1.0434,10.1654,27.4,<2.5
Grenada,1.9979,18.0229,13.7565,0.7284,1.1446,41.9146,3.8085,7.9084,10.718,0.7284,0,0.3538,0.0832,1.1863,1.3111,0.6452,1.1446,0.3122,0.0416,4.9116,20.2,NA
Guatemala,0.5887,8.1044,23.8619,0.9419,0.0981,46.6051,1.4914,9.3995,8.9091,0.3925,0,0.0589,0.0785,1.0793,2.7473,0.0589,0.3532,0.1766,0.2159,3.748,18.8,15.2
Guinea,0.0894,3.4526,24.8479,0.1073,0.3399,51.7889,0.6619,2.2182,16.4938,0.161,0,0.0716,0.1073,1.8784,0.7335,0,6.7979,0.0894,0,6.6547,6.6,16.5
Guinea-Bissau,0.6881,6.4595,28.6127,0.0666,0.0444,48.3685,0.8657,0.6881,14.2065,0.1554,0,0.1332,0.111,0.5771,0.3996,0,4.1065,0.0666,1.1543,7.5028,8.2,28
Guyana,0.5719,12.7036,21.2998,0.1213,0.8666,46.4298,4.1075,5.5459,8.3536,0.208,0,0.1906,0.0347,2.5303,1.1612,0.5546,1.3345,0.2773,0.2253,1.8371,19.2,8.1
Haiti,2.0559,5.8674,21.5754,0.0462,0.2079,49.5264,1.0626,4.0425,15.6156,0.3234,0,0.0924,0.0924,0.8085,3.8346,0,5.7057,0.2079,0,4.5507,20.5,49.3
Honduras,0.7052,9.6376,23.3301,0.2938,0.0979,45.1714,2.7032,8.5406,9.5201,0.6464,0,0.1567,0.0784,0.1763,2.3898,0.0196,0.2938,0.2351,0.0392,5.4848,19.4,12.9
Hungary,3.0432,21.972,13.4206,0.8065,0.1978,36.0164,3.8649,5.3408,15.3377,5.28,0,0.0152,0,0.1978,0.4108,0.1522,1.339,0.426,0.0304,7.4863,28.6,<2.5
Iceland,2.0403,29.8869,10.7803,0.5928,2.2746,30.7831,8.5746,5.3212,9.7463,2.9915,0,0.4687,0.2619,0.4825,0.0965,0.1654,1.0753,0.9374,0.2481,3.019,23.1,<2.5
India,0.2582,5.8602,27.652,0.2384,0.2582,47.0004,3.2578,3.5757,11.8991,1.4899,0,0,0.0199,0.9734,3.1387,0.5959,1.1124,0.0199,0.1986,4.3504,3.8,14.5
Indonesia,0.0346,4.2885,31.9557,0.3977,1.4698,48.7636,0.3631,3.4584,9.2686,0.121,0,0,0.1038,1.833,0.1729,0.2594,2.4728,0.1383,0.0865,4.0809,6.9,8.3
